reason_1,reason_2,reason_3,reason_4,month,day_of_the_week,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Excessive_absenteeism
0,0,0,1,0.18272635120586733,-0.6837035180466513,1.0058443707754152,0.41281583670825295,-0.5360623885302863,-0.8063312930931505,0.7674311803407343,0,0.8804692708322822,0.2684866056096575,1
0,0,0,0,0.18272635120586733,-0.6837035180466513,-1.5746809776571293,-1.1418824021228282,2.1308031731379447,-0.8063312930931505,1.0026333809705565,0,-0.01928034899632728,-0.5896897593527181,0
0,0,0,1,0.18272635120586733,-0.007725463480753213,-0.6541426954677421,1.4267494707285233,0.24830983548978164,-0.8063312930931505,1.0026333809705565,0,-0.9190299688249368,-0.5896897593527181,0
1,0,0,0,0.18272635120586733,0.6682525910851449,0.854936455662401,-1.682647006933639,0.4051842802937953,-0.8063312930931505,-0.643782023438199,0,0.8804692708322822,-0.5896897593527181,1
0,0,0,1,0.18272635120586733,0.6682525910851449,1.0058443707754152,0.41281583670825295,-0.5360623885302863,-0.8063312930931505,0.7674311803407343,0,0.8804692708322822,0.2684866056096575,0
0,0,0,1,0.18272635120586733,1.3442306456510429,-0.6541426954677421,1.4267494707285233,0.24830983548978164,-0.8063312930931505,1.0026333809705565,0,-0.9190299688249368,-0.5896897593527181,0
0,0,0,1,0.18272635120586733,1.3442306456510429,2.092381359589118,1.4943450463298746,-1.3204346125503543,-0.8063312930931505,0.061824578451267674,0,-0.01928034899632728,2.843015700496784,1
0,0,0,1,0.18272635120586733,1.3442306456510429,0.5682114169476737,1.359153895127172,-0.06543905411824555,-0.8063312930931505,-0.8789842240680212,0,2.6799685104895015,-0.5896897593527181,1
0,0,1,0,0.18272635120586733,-1.3596815726125493,-1.0163216917389764,-1.2094779777241795,-0.37918794372627274,-0.8063312930931505,-0.4085798228083768,0,0.8804692708322822,-0.5896897593527181,1
0,0,0,1,0.18272635120586733,-1.3596815726125493,0.19094162916513804,-1.2770735533255309,0.09143539068576804,-0.8063312930931505,0.5322289797109121,1,-0.01928034899632728,0.2684866056096575,1
1,0,0,0,0.18272635120586733,-1.3596815726125493,0.5682114169476737,1.359153895127172,-0.06543905411824555,-0.8063312930931505,-0.8789842240680212,0,2.6799685104895015,-0.5896897593527181,1
1,0,0,0,0.18272635120586733,-0.6837035180466513,0.5682114169476737,1.359153895127172,-0.06543905411824555,-0.8063312930931505,-0.8789842240680212,0,2.6799685104895015,-0.5896897593527181,1
1,0,0,0,0.18272635120586733,-0.007725463480753213,0.5682114169476737,1.359153895127172,-0.06543905411824555,-0.8063312930931505,-0.8789842240680212,0,2.6799685104895015,-0.5896897593527181,1
1,0,0,0,0.18272635120586733,-0.007725463480753213,-0.6541426954677421,1.4267494707285233,0.24830983548978164,-0.8063312930931505,1.0026333809705565,0,-0.9190299688249368,-0.5896897593527181,0
0,0,0,1,0.18272635120586733,-0.007725463480753213,-0.6541426954677421,1.4267494707285233,0.24830983548978164,-0.8063312930931505,1.0026333809705565,0,-0.9190299688249368,-0.5896897593527181,1
1,0,0,0,0.18272635120586733,1.3442306456510429,0.3569403357894538,-0.33073549490661197,0.7189331699018224,-0.8063312930931505,-0.8789842240680212,0,-0.9190299688249368,-0.5896897593527181,1
0,0,0,1,0.18272635120586733,1.3442306456510429,-0.6541426954677421,1.4267494707285233,0.24830983548978164,-0.8063312930931505,1.0026333809705565,0,-0.9190299688249368,-0.5896897593527181,0
0,0,1,0,0.18272635120586733,-1.3596815726125493,-0.6541426954677421,1.4267494707285233,0.24830983548978164,-0.8063312930931505,1.0026333809705565,0,-0.9190299688249368,-0.5896897593527181,1
1,0,0,0,0.18272635120586733,0.6682525910851449,-0.5032347803547277,-0.060353192501206535,-0.5360623885302863,-0.8063312930931505,-0.4085798228083768,0,0.8804692708322822,1.126662970572033,1
0,0,0,1,0.4682362749650352,-0.007725463480753213,0.38712191881205665,-0.33073549490661197,1.6601798387259041,-1.647399128208504,1.2378355816003788,0,0.8804692708322822,0.2684866056096575,0
1,0,0,0,0.4682362749650352,-0.007725463480753213,1.624566822738774,-0.9390956753187741,-1.3204346125503543,-1.647399128208504,-0.4085798228083768,1,-0.9190299688249368,-0.5896897593527181,1
